Event,City,Country,Continent,Lat,Lon,URL,Status,Date,Year,Quarter,Estimated_Attendees,Ticket_Price,Sponsors,Invited_Speakers
satRday Taiwan,Taipei,Taiwan,Asia,25.17418752,121.4475156,https://taiwan2020.satrdays.org/,Past,17-10-2020,2020,Q4,NA,FREE,"Tamkang University, R Studio, R Consortium, Microsoft","???, ???, Juan Pablo Marín Díaz"
satRday Chicago,Chicago,United States,North America,NA,NA,https://chicago2020.satrdays.org/,Past,30-05-2020,2020,Q2,NA,FREE,"Microsoft, CRC Press","Adam Austin, Alexis Johnson-Gresham, Brian Burns, Edward Visel, Elizabeth Nelson, Eric Langowski, Haoen Cui, James Lamb, Jonathan Keane, Krishna Jarugumilli, Scarlett Winters, Susan Paykin, Sydney Purdue, Tristán Ignacio Gramsch Calvo, Zaynaib Giwa, Dirk Eddelbuettel"
satRday Auckland,Auckland,New Zealand,Oceania,-36.85273205,174.7676665,https://auckland2020.satrdays.org/,Past,22-02-2020,2020,Q1,NA,USD 60,"R Studio, R Consortium","JJ Allaire, Jacquie Tran, Harkanwal Singh, Anna Fergusson, Simon Urbanek, Thomas Lumley, Harel Lustiger, Zhuojia Dai, Aaron Schiff, Jonathan Ng, Tom Elliott, Charlotte Jones-Todd, Jayne Ihaka, Chris Wild, Emma Vitz, Victoria King, Owen Flanagan, Caleb Moses, Antony Southworth, John Graves"
satRday Abidjan,Abidjan,Cote d'Ivoire,Africa,5.347309719,-3.994769454,https://abidjan2020.satrdays.org/,Past,01-02-2020,2020,Q1,NA,FREE,"Jumping Rivers, Zindi, Why R? Foundation","Bruno Herault, Ahmadou Dicko"
satRday Cardiff,Cardiff,United Kingdom,Europe,51.487586,-3.179393,https://cardiff2019.satrdays.org/,Past,16-11-2019,2019,Q4,NA,NA,"Jumping Rivers, Cardiff University, Appsilon, Why R Foundation, Alacrity Foundation","Mine Ã‡etinkaya-Rundel, Arun Srinivasan"
satRday Berlin,Berlin,Germany,Europe,52.512784,13.389203,https://berlin2019.satrdays.org/,Past,15-06-2019,2019,Q2,15,EUR 40,"Auto1 Group, Eurospace, R Consortium, R Studio, Jumping Rivers","Uwe Ligges, Isabella Gollini"
satRday Kampala,Kampala,Uganda,Africa,0.322869,32.576384,https://kampala2019.satrdays.org/,Past,25-05-2019,2019,Q2,5,FREE,"R Studio, Zindi, OutBox, Jumping Rivers","Steph Locke, Shelmith Kaiuki"
satRday Gdansk,Gdansk,Poland,Europe,54.371375,18.619176,https://gdansk2019.satrdays.org/,Past,18-05-2019,2019,Q2,20,PLN 140,"Jepperson, Udemy, Appsilon, Jumping Rivers, R Studio, R Consortium, ErgoHestia, InfoShare Academy","Przemys?aw Biecek, Hanna Piotrowska, B?a?ej Kocha?ski, Agnieszka KrÃ³l"
satRday Chicago,Chicago,United States,North America,41.876375,-87.625117,https://chicago2019.satrdays.org/,Past,27-04-2019,2019,Q2,41,FREE,"R Studio, Microsoft, R Consortium, Uptake, Metis, Roosevelt","Aaron Hawn, Adam Austin, Adam Lyon, Alexandra Mangold, Amy Yang, Anh Tran"
satRday Los Angeles,Los Angeles,United States,North America,34.070271,-118.445186,https://losangeles2019.satrdays.org/,Past,06-04-2019,2019,Q2,11,FREE,"System1, R Studio, UCLA Alumni","Norm Matloff, Erin LeDell"
satRday Newcastle upon Tyne,Newcastle upon Tyne,United Kingdom,Europe,54.979175,-1.614639,https://newcastle2019.satrdays.org/,Past,06-04-2019,2019,Q2,18,GBP 30,"Jumping Rivers, Newcastle University, Sage","Robin Lovelace, Noa Tamir, Thomas Lin Pederson"
satRday Johannesburg,Johannesburg,South Africa,Africa,-26.112987,28.053003,https://joburg2019.satrdays.org/,Past,06-04-2019,2019,Q2,23,ZAR 1000,"Rain, Discovery, R Studio, Exegetic, OfferZen","Omayna Said, Danielle Navarro"
satRday Paris,Paris,France,Europe,48.839794,2.347689,https://paris2019.satrdays.org/,Past,23-02-2019,2019,Q1,23,FREE,"AgroParisTech, Gandi, RTE, SAMM, R Studio","Lionel Henry, Henrik Bengtsson, Suzan Baert"
satRday Washington DC,Washington DC,United States,North America,38.899811,-77.046397,https://dc2018.satrdays.org/,Past,08-12-2018,2018,Q4,17,USD 50,NA,"Katherine Ognyanova, David Smith"
satRday Santiago,Santiago,Chile,South America,-33.497462,-70.612239,https://santiago2018.satrdays.org/,Past,15-12-2018,2018,Q4,31,CLP 10000,"DataUC, MetricArts, Microsoft","Soledad Araya, Stefanni Cavaletto, Rodrigo Cofre"
satRday Belgrade,Belgrade,Serbia,Europe,44.821765,20.465129,https://belgrade2018.satrdays.org/,Past,27-11-2018,2018,Q4,19,NA,R Consortium,"Mariachiara Fortuna, Andrea Melloncelli"
satRday Amsterdam,Amsterdam,Netherlands,Europe,52.352205,4.912955,https://amsterdam2018.satrdays.org/,Past,01-09-2018,2018,Q3,16,EUR 40,"GoDataDriven, Uber, R Studio, Locke Data",Mara Averick
satRday Cardiff,Cardiff,United Kingdom,Europe,51.487586,-3.179393,https://cardiff2018.satrdays.org/,Past,23-06-2018,2018,Q2,14,GBP 30,"Jumping Rivers, Cardiff University, Locke Data, Sorenson Media","Stephanie Locke, Heather Turner, Kathrine Tansey"
satRday Capetown,Capetown,South Africa,Africa,-33.957731,18.461185,https://capetown2018.satrdays.org/,Past,15-03-2018,2018,Q1,23,ZAR 2000,"Microsoft, Vantage, R Studio, DataCamp, OfferZen, Jumping Rivers","MaÃ«lle Salmon, Stephanie Kovalchik"
satRday Capetown,Capetown,South Africa,Africa,-33.907137,18.418558,https://capetown2017.satrdays.org/,Past,18-02-2017,2017,Q1,29,ZAR 1100,"Microsoft, Vantage, R Consortium, Ixperience","Steph Locke, Jennifer Bryan, Julia Silge "
satRday Budapest,Budapest,Hungary,Europe,47.474072,19.060172,https://budapest2016.satrdays.org/,Past,03-09-2016,2016,Q3,25,FREE,"R Consortium, BI Consulting, HiflyLabs, RapidMiner","GÃ¡bor CsÃ¡rdi, Jeroen Ooms"
