,name,city,country,region,members,fullurl,created,past_events,upcoming_events,visibility,last_event
1,Customer Data Science LA,Santa Monica,USA,US/Canada,620,https://www.meetup.com/Customer-Data-Science-LA/,20-06-2019,14,0,public_limited,01-10-2020
2,ODSC Vancouver Data Science,Vancouver,Canada,US/Canada,357,https://www.meetup.com/ODSC-Vancouver-Data-Science/,22-11-2019,58,1,public,02-06-2021
3,ODSC Denver Data Science,Denver,USA,US/Canada,167,https://www.meetup.com/ODSC-Denver-Data-Science/,22-11-2019,67,1,public,02-06-2021
4,Ulmer Data Science Stammtisch,Ulm,Germany,Europe,405,https://www.meetup.com/Ulmer-Data-Science-Stammtisch/,06-12-2017,10,0,public,25-11-2019
5,Western Mass Statistics and Data Science,Northampton,USA,US/Canada,529,https://www.meetup.com/Pioneer-Valley-and-Five-College-R-Statistical-Meetup/,02-01-2013,209,0,public,27-02-2020
10,Mad Over Data | Mumbai,Mumbai,India,Asia,215,https://www.meetup.com/Mad-Over-Data/,02-01-2020,4,0,public,16-08-2020
11,Mad Over Data | Delhi NCR,Delhi,India,Asia,419,https://www.meetup.com/Mad-Over-Data-Delhi-NCR/,07-01-2020,6,0,public,16-08-2020
12,Mad Over Data | Bangalore,Bangalore,India,Asia,431,https://www.meetup.com/Mad-Over-Data-Bangalore/,23-01-2020,5,0,public,16-08-2020
15,Master Cohorts,Nairobi,Kenya,Africa,262,https://www.meetup.com/Master-Data-Science/,03-04-2020,1,0,public,25-04-2020
36,Bhavnagar Data Analysis Meetup,Bhavnagar,India,Asia,35,https://www.meetup.com/Bhavnagar-Data-Analysis-Meetup/,15-06-2014,0,0,public,01-01-1970
40,Data Analytics GDL User Group,Guadalajara,Mexico,Latin America,320,https://www.meetup.com/Data-Analytics-GDL-User-Group/,13-04-2017,2,0,public,08-12-2017
41,Vancouver Data Visualization,Vancouver,Canada,US/Canada,4374,https://www.meetup.com/Vancouver-Data-Visualization/,14-03-2011,44,0,public,04-02-2021
45,Microsoft Advanced Analytics User Group,Mechelen,Belgium,Europe,764,https://www.meetup.com/Microsoft-Advanced-Analytics-User-Group/,17-11-2017,13,0,public,15-04-2019
46,Chile Elastic User Group,Santiago,Chile,Latin America,38,https://www.meetup.com/chile-elastic-user-group/,18-02-2021,4,0,public,08-06-2021
82,Indore Hadoop User Group,Indore,India,Asia,455,https://www.meetup.com/Indore-Hadoop-User-Group/,01-08-2014,0,0,public,01-01-1970
91,Central Illinois SAS® User Group Meetup,Springfield,USA,US/Canada,107,https://www.meetup.com/Central-Illinois-SAS-User-Group-Meetup/,14-11-2014,31,0,public,13-05-2021
94,Alteryx Meet and Greet Brisbane,Brisbane,Australia,Australia,19,https://www.meetup.com/Alteryx-User-Group-Brisbane/,24-04-2016,7,0,public,12-06-2019
99,KNIME User Group UK,London,United Kingdom,Europe,414,https://www.meetup.com/KNIME-User-Group-UK/,29-11-2013,38,1,public,01-06-2021
156,Collin County Data Science Education,Plano,USA,US/Canada,471,https://www.meetup.com/Collin-County-Data-Science-Education/,17-02-2019,14,0,public,23-04-2020
157,Data Science Festival - London,London,United Kingdom,Europe,11329,https://www.meetup.com/Data-Science-Festival-London/,25-04-2016,125,1,public,10-06-2021
158,ODSC Zurich Data Science,Zürich,Switzerland,Europe,1069,https://www.meetup.com/Zurich-Data-Sciece-ODSC/,02-08-2018,93,3,public,08-06-2021
159,ODSC Dublin Data Science,Dublin,Ireland,Europe,1472,https://www.meetup.com/Dublin-Data-Science-ODSC/,02-08-2018,95,4,public,08-06-2021
160,ODSC Austin Data Science,Austin,USA,US/Canada,738,https://www.meetup.com/Data-Science-ODSC-Austin/,21-12-2018,94,1,public,02-06-2021
161,ODSC Manchester Data Science,Manchester,United Kingdom,Europe,684,https://www.meetup.com/Data-Science-ODSC-Manchester/,16-08-2018,78,5,public,08-06-2021
162,Data Science Festival - Berlin,Berlin,Germany,Europe,476,https://www.meetup.com/meetup-group-Berlin/,16-10-2019,63,1,public,10-06-2021
163,ODSC Stockholm Data Science,Stockholm,Sweden,Europe,732,https://www.meetup.com/Stockholm-Data-Sciece-ODSC/,02-08-2018,68,3,public,08-06-2021
164,ODSC Birmingham Data Science,Birmingham,United Kingdom,Europe,412,https://www.meetup.com/data-science-ODSC-Birmingham/,14-08-2018,74,5,public,08-06-2021
165,ODSC Lviv Data Science,L'viv,Ukraine,Europe,270,https://www.meetup.com/Data-Science-ODSC-Lviv/,13-08-2018,72,3,public,08-06-2021
166,Data Science Hub,Mumbai,India,Asia,883,https://www.meetup.com/Data-Science-Hub/,04-05-2019,60,1,public,29-05-2021
167,Lekki Data Science Meetup,Lagos,Nigeria,Africa,2714,https://www.meetup.com/Lekki-Data-Science-Meetup/,06-03-2017,9,0,public,27-06-2020
168,Data Science Nantes,Nantes,France,Europe,582,https://www.meetup.com/Data-Science-Nantes/,03-12-2018,8,0,public,09-03-2021
169,Newcastle Upon Tyne Data Science Meetup,Newcastle Upon Tyne,United Kingdom,Europe,948,https://www.meetup.com/Newcastle-Upon-Tyne-Data-Science-Meetup/,08-05-2017,18,0,public,16-03-2021
170,Data Science Talks,São Paulo,Brazil,Latin America,1309,https://www.meetup.com/Data-Science-Talks/,19-04-2019,4,0,public,01-05-2020
171,Data Science Curitiba,Curitiba,Brazil,Latin America,1483,https://www.meetup.com/Data-Science-Curitiba/,29-09-2017,14,0,public_limited,11-02-2020
172,Data Science and Machine Learning Meet,Pune,India,Asia,1539,https://www.meetup.com/Data-Science-and-Machine-Learning/,06-12-2017,17,0,public,18-06-2020
173,Python And Data Science For Freshers Training and Workshop,Bangalore,India,Asia,2292,https://www.meetup.com/Python-And-Data-Science-For-Freshers-Training-Workshop/,28-08-2018,5,0,public,30-03-2020
174,New Haven Data Science,New Haven,USA,US/Canada,532,https://www.meetup.com/New-Haven-Data-Science-Meetup/,15-03-2015,12,0,public,04-06-2018
175,Data Science After Dark,Springfield,USA,US/Canada,255,https://www.meetup.com/Data-Science-After-Dark/,22-03-2019,8,0,public,16-06-2020
176,Winnipeg Data Science - Projects - Machine Learning with SQL,Winnipeg,Canada,US/Canada,110,https://www.meetup.com/Winnipeg-Data-Science-Projects/,05-11-2018,12,0,public,17-03-2019
177,KL Data Science,Kuala Lumpur,Malaysia,Asia,150,https://www.meetup.com/KL-Data-Science/,31-05-2019,0,0,public,01-01-1970
178,Data Science Case Studies and Interview Prep,Mountain View,USA,US/Canada,542,https://www.meetup.com/DSCaseStudies/,29-04-2019,25,0,public,05-07-2020
179,San Francisco Data Science Leadership Meetup,San Francisco,USA,US/Canada,57,https://www.meetup.com/San-Francisco-Data-Science-Leadership-Meetup/,12-02-2020,1,0,public,27-02-2020
180,SF - Bay Area Data Science Initiative,San Francisco,USA,US/Canada,796,https://www.meetup.com/SF-Bay-Area-Data-Science-Initiative/,10-02-2020,86,2,public,24-05-2021
181,Bay Area Data Science Enthusiasts,Palo Alto,USA,US/Canada,2257,https://www.meetup.com/Bay-Area-Data-Science-Enthusiasts/,11-02-2019,163,2,public,24-05-2021
182,ODSC Delhi Data Science,Delhi,India,Asia,2977,https://www.meetup.com/Delhi-Data-Science-ODSC/,23-05-2019,53,2,public,10-06-2021
183,ODSC Lisbon Data Science,Lisbon,Portugal,Europe,400,https://www.meetup.com/Lisbon-Data-Science-ODSC/,24-07-2019,59,3,public,08-06-2021
184,ODSC Cambridge Data Science,Cambridge,United Kingdom,Europe,422,https://www.meetup.com/data-science-odsc-cambridge/,14-08-2018,73,5,public,08-06-2021
185,Data Science Festival - Lagos,Lagos,Nigeria,Africa,410,https://www.meetup.com/Data-Science-Festival-Lagos/,22-06-2020,55,1,public,10-06-2021
186,ODSC Milano Data Science,Milano,Italy,Europe,1828,https://www.meetup.com/Milano-Data-Science-ODSC/,03-08-2018,95,3,public,08-06-2021
187,ODSC Edinburgh Data Science,Edinburgh,United Kingdom,Europe,571,https://www.meetup.com/Edinburgh-ODSC-Data-Science/,10-08-2018,71,5,public,08-06-2021
188,ODSC Madrid Data Science,Madrid,Spain,Europe,947,https://www.meetup.com/Madrid-Data-Science-ODSC/,02-08-2018,79,3,public,08-06-2021
189,ODSC Amsterdam Data Science,Amsterdam,Netherlands,Europe,858,https://www.meetup.com/Amsterdam-Data-Science-ODSC/,02-08-2018,77,3,public,08-06-2021
190,ODSC Copenhagen Data Science,Copenhagen,Denmark,Europe,674,https://www.meetup.com/Copenhagen-Data-Sciece-ODSC/,02-08-2018,70,3,public,08-06-2021
191,Data Science - For Beginners (Hyderabad),Hyderabad,India,Asia,1055,https://www.meetup.com/Data-Science-For-Beginners-Hyderabad/,21-02-2020,70,0,public,12-06-2021
192,ODSC Sao Paulo Data Science,São Paulo,Brazil,Latin America,2264,https://www.meetup.com/Sao-Paulo-Data-Science-ODSC/,14-12-2018,86,1,public,02-06-2021
193,ODSC Berlin Data Science,Berlin,Germany,Europe,697,https://www.meetup.com/Berlin-Data-Science-ODSC/,02-08-2018,75,3,public,08-06-2021
194,ODSC Kyiv Data Science,Kyiv,Ukraine,Europe,616,https://www.meetup.com/Data-Science-Kyiv-ODSC/,13-08-2018,66,3,public,08-06-2021
195,Data Science Festival - Leeds,Leeds,United Kingdom,Europe,289,https://www.meetup.com/Data-Science-Festival-Leeds/,16-10-2019,64,1,public,10-06-2021
